Artist and Title,Streams,Daily
The Kid LAROI - STAY,3037262898,1174897.0
Olivia Rodrigo - drivers license,2138118052,914019.0
Olivia Rodrigo - good 4 u,2125879900,849498.0
Lil Nas X - INDUSTRY BABY,1991344871,544190.0
Maroon 5 - Memories,1976441383,822204.0
Lil Nas X - MONTERO (Call Me By Your Name),1882635556,627206.0
24kGoldn - Mood,1836932764,712011.0
Doja Cat - Kiss Me More,1782579566,892870.0
Adele - Easy On Me,1682127611,816094.0
Justin Bieber - Peaches,1588769796,495386.0
Doja Cat - Woman,1561457233,1004551.0
Olivia Rodrigo - deja vu,1556233053,1018301.0
Justin Bieber - Ghost,1531105189,1212547.0
Olivia Rodrigo - traitor,1511721208,1001044.0
Farruko - Pepas,1474667645,592652.0
Imagine Dragons - Enemy,1464195903,875460.0
Bad Bunny - Yonaguni,1383274666,345162.0
Rauw Alejandro - Todo De Ti,1303436552,711222.0
Billie Eilish - Happier Than Ever,1285122094,756026.0
Bruno Mars - Leave The Door Open,1280297152,551116.0
Coldplay - My Universe,1244605945,541810.0
BTS - Butter,1242168854,342773.0
Lost Frequencies - Where Are You Now,1173046173,999595.0
Doja Cat - Need to Know,1162188454,376693.0
LISA - MONEY,1160883308,655934.0
GAYLE - abcdefu,1114742028,328201.0
Olivia Rodrigo - happier,1090799942,853080.0
Surf Curse - Freaks,1051627563,888966.0
Lil Nas X - THATS WHAT I WANT,1046082799,494480.0
Måneskin - I WANNA BE YOUR SLAVE,1015151017,768761.0
Olivia Rodrigo - favorite crime,1013919686,908738.0
Stephen Sanchez - Until I Found You,979530787,911296.0
Rauw Alejandro - Desesperados,974512491,884927.0
Riton - Friday,962081588,545885.0
The Kid LAROI - WITHOUT YOU,918093614,236179.0
Polo G - RAPSTAR,908401514,490801.0
The Weeknd - Pray For Me,898600648,421862.0
Tainy - Lo Siento BB:/,895083551,378517.0
"Olivia Rodrigo - jealousy, jealousy",851044826,714855.0
Marshmello - Leave Before You Love Me,819387133,629000.0
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),817676216,503295.0
Doja Cat - You Right,812781150,413236.0
Sebastian Yatra - Pareja Del Año,800622595,382492.0
J Balvin - Qué Más Pues?,799273740,278556.0
Drake - Fair Trade,794889156,591817.0
Tiësto - The Motto,792232849,568912.0
ACRAZE - Do It To It,786488170,418532.0
Drake - Wants and Needs,778674226,342976.0
Sleepy Hallow - 2055,777010887,710310.0
Aventura - Volví,765778182,291267.0
Lil Tjay - Calling My Phone,763387282,318017.0
Tory Lanez - The Color Violet,755789187,1132802.0
Travis Scott - Goosebumps,755088810,296969.0
Little Mix - Shout Out to My Ex,748963204,166224.0
Baby Keem - family ties,745185763,554367.0
Justin Bieber - Hold On,740238329,208859.0
Taylor Swift - Love Story (Taylor’s Version),725581238,731771.0
Drake - Knife Talk,717975241,351629.0
MEDUZA - Paradise,716919266,245353.0
Maroon 5 - Beautiful Mistakes,716662727,304665.0
ATB - Your Love (9PM),705965448,339219.0
Taylor Swift - Wildest Dreams (Taylor's Version),703739090,592590.0
TINI - Miénteme,698294195,354071.0
Mora - Volando,690752065,247594.0
Justin Bieber - Anyone,680466351,201603.0
Morgan Wallen - Wasted On You,677072949,759447.0
BoyWithUke - Toxic,676074873,316861.0
zzoilo - Mon Amour,675308345,336575.0
Tiësto - Don't Be Shy,670700376,381211.0
BTS - Permission to Dance,666512598,204141.0
Cardi B - Up,636424728,269848.0
Gera MX - Botella Tras Botella,632796570,327092.0
Taylor Swift - You Belong With Me (Taylor’s Version),628701962,657570.0
Marc Seguí - Tiroteo,627684888,420753.0
Sebastian Yatra - Tacones Rojos,625422570,378142.0
Anitta - Envolver,624624624,372693.0
Post Malone - One Right Now,621163432,246459.0
Olivia Rodrigo - brutal,620838694,393658.0
Los Legendarios - Fiel,603535942,148542.0
INTERWORLD - METAMORPHOSIS,598687300,612430.0
Doja Cat - Get Into It (Yuh),592805189,256972.0
Maluma - Sobrio,590740442,211900.0
CKay - love nwantiti,589522901,158308.0
The Rare Occasions - Notion,568134566,615583.0
Nio Garcia - AM Remix,565420395,143404.0
Rauw Alejandro - Cúrame,564236538,783375.0
KAROL G - EL MAKINON,563159553,279717.0
Saweetie - Best Friend,560233954,265387.0
Oliver Tree - Life Goes On,558844621,202685.0
PinkPantheress - Pain,557151111,872415.0
Adele - Oh My God,553191665,224216.0
Drake - Way 2 Sexy,552024000,187327.0
OneRepublic - Run,551187360,370942.0
Peso Pluma - Por Las Noches,528044594,324421.0
Gabry Ponte - Thunder,527263220,561435.0
Rauw Alejandro - 2/Catorce,526689450,185516.0
Trippie Redd - Miss The Rage,522747877,295072.0
Troye Sivan - Angel Baby,517343111,336868.0
Ingratax - París,514689470,295789.0
Majestic - Rasputin,512506250,271564.0
Dua Lipa - We're Good,510311442,141034.0
Joel Corry - OUT OUT,499112902,256691.0
Rvssian - Nostálgico,495669941,193046.0
Camila Cabello - Don't Go Yet,492705762,151692.0
Billie Eilish - Happier Than Ever,490396794,149584.0
Cochise - Tell Em,488174535,269303.0
Madison Beer - Reckless,486026733,387433.0
DVRST - Close Eyes,483861535,281981.0
LISA - LALISA,479361624,497440.0
Galantis - Heartbreak Anthem,478684480,224309.0
NEIKED - Better Days (NEIKED x Mae Muller x Polo G),478584501,178768.0
J Balvin - In Da Getto,476725812,178483.0
Selena Gomez - Baila Conmigo,476285692,67677.0
Joel Corry - BED,473422460,139086.0
"Olivia Rodrigo - 1 step forward, 3 steps back",466022483,422177.0
Tiago PZK - Entre Nosotros,462845287,223035.0
Mora - 512,462008322,302138.0
Måneskin - ZITTI E BUONI,461965148,221308.0
The Weeknd - Take My Breath,461668751,87500.0
JVKE - this is what falling in love feels like,460712317,386435.0
Bruno Mars - Smokin Out The Window,454130110,221388.0
Drake - Girls Want Girls,449415370,235052.0
Bella Poarch - Build a Bitch,447197433,142819.0
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",446261472,195269.0
bbno$ - edamame,446066319,323221.0
SZA - I Hate U,445395224,306369.0
Blessd - Medallo,445265875,165987.0
Olivia Rodrigo - enough for you,444017354,284507.0
Kanye West - Praise God,442918555,194259.0
Becky Hill - Remember,440426310,301066.0
Nathan Evans - Wellerman,437213014,147918.0
Shouse - Love Tonight (David Guetta Remix Edit),434653393,333186.0
Matt Sassari - Give It To Me,433952431,814633.0
Jason Derulo - Acapulco,433610424,215915.0
P!nk - Cover Me In Sunshine,431608465,160566.0
Jordan Davis - Buy Dirt,428106923,530707.0
Calibre 50 - A La Antigüita,427554380,180156.0
J. Cole - m y . l i f e,425233105,263291.0
The Kid LAROI - SO DONE,424093641,109464.0
TWICE - The Feels,420661422,244195.0
